timestamp,best_bid,best_ask,mid,bid_quote,ask_quote,imbalance,inventory,cash,pnl
2025-12-30T11:53:53.291215,9990.0,9992.0,9991.0,9987.87,9992.87,-0.2214,1,-9938.25,52.75
2025-12-30T11:53:53.606254,10009.0,10013.0,10011.0,10007.99,10012.99,-0.1379,1,-9938.25,72.75
2025-12-30T11:53:53.917913,10009.0,10013.0,10011.0,10007.63,10012.63,-0.3782,1,-9938.25,72.75
2025-12-30T11:53:54.226007,9978.0,9982.0,9980.0,9976.99,9981.99,-0.1429,1,-9938.25,41.75
2025-12-30T11:53:54.527892,10009.0,10013.0,10011.0,10007.64,10012.64,-0.373,1,-9938.25,72.75
2025-12-30T11:53:54.842460,9996.0,9998.0,9997.0,9994.65,9999.65,0.3012,1,-9938.25,58.75
2025-12-30T11:53:55.154548,10010.0,10012.0,10011.0,10008.76,10013.76,0.3721,1,-9938.25,72.75
2025-12-30T11:53:55.466176,9984.0,9986.0,9985.0,9981.63,9986.63,-0.3803,1,-9938.25,46.75
2025-12-30T11:53:55.777239,10013.0,10015.0,10014.0,10011.69,10016.69,0.3266,1,-9938.25,75.75
2025-12-30T11:53:56.081958,9993.0,9995.0,9994.0,9990.39,9995.39,-0.5426,1,-9938.25,55.75
2025-12-30T11:53:56.386069,10006.0,10010.0,10008.0,10004.7,10009.7,-0.3333,1,-9938.25,69.75
2025-12-30T11:53:56.698555,9983.0,9985.0,9984.0,9980.41,9985.41,-0.5238,1,-9938.25,45.75
2025-12-30T11:53:57.010901,10012.0,10014.0,10013.0,10010.02,10015.02,-0.1193,1,-9938.25,74.75
2025-12-30T11:53:57.328274,9978.0,9982.0,9980.0,9977.0,9982.0,-0.13,1,-9938.25,41.75
2025-12-30T11:53:57.629420,9981.0,9985.0,9983.0,9980.4,9985.4,0.1304,1,-9938.25,44.75
2025-12-30T11:53:57.935305,9990.0,9992.0,9991.0,9988.42,9993.42,0.1446,1,-9938.25,52.75
2025-12-30T11:53:58.244857,10012.0,10016.0,10014.0,10010.84,10015.84,-0.2398,1,-9938.25,75.75
